,标题,学校,门类/专业,招生人数,发布时间,链接
0,哈尔滨工业大学计算机科学与技术博士招生2021申请-审核制,哈尔滨工业大学,工学 -> 计算机科学与技术  ,2,2020-08-01 13:05,http://muchong.com/t-14377997-1
1,已截止,南方科技大学,工学 -> 计算机科学与技术  -> 计算机软件与理论,1,2020-06-07 17:34,http://muchong.com/t-14299859-1
2,天津大学接收电子信息非全定向硕士调剂,天津大学,工学 -> 计算机科学与技术  -> 计算机应用技术,20,2020-06-03 19:00,http://muchong.com/t-14294097-1
3,江西科技师范大学赵丰课题组招收调剂硕士研究生,江西科技师范大学,工学 -> 计算机科学与技术  ,3,2020-05-31 09:52,http://muchong.com/t-14287994-1
4,武汉科大接收调剂研究生,武汉科大,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-05-28 18:22,http://muchong.com/t-14283863-1
5,调剂已经结束，谢谢大家,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2020-05-26 10:59,http://muchong.com/t-14277865-1
6,天津大学电子信息非全定向接受校外调剂,天津大学,工学 -> 计算机科学与技术  -> 计算机应用技术,25,2020-05-25 22:57,http://muchong.com/t-14276941-1
7,中科院接收调剂研究生,中科院,工学 -> 计算机科学与技术  -> 计算机应用技术,6,2020-05-22 17:18,http://muchong.com/t-14269334-1
8,沈阳理工大学环境与化学工程学院接受研究生调试,沈阳理工,工学 -> 计算机科学与技术  ,13,2020-05-22 11:44,http://muchong.com/t-14268493-1
9,广州中医药大学医学信息工程学院接收电子信息类、计算机类、生物医学工程类等调剂,广州中医药大学,工学 -> 计算机科学与技术  ,5,2020-05-21 17:05,http://muchong.com/t-14266804-1
10,集美大学招收人工智能领域 专硕 研究生1名,集美大学,工学 -> 计算机科学与技术  ,1,2020-05-21 12:15,http://muchong.com/t-14266110-1
11,上海工程技术大学材料工程学院接受调剂研究生,上海工程,工学 -> 计算机科学与技术  ,2,2020-05-20 18:29,http://muchong.com/t-14264548-1
12,杭州电子科技大学――网络空间安全学院2020硕士研究生调剂复试工作通知,杭州电子科大,工学 -> 计算机科学与技术  ,35,2020-05-20 13:29,http://muchong.com/t-14263766-1
13,山东农大接收物联网专业调剂研究生,山东农大,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-05-19 23:59,http://muchong.com/t-14262627-1
14,中国科学院自动化研究所与哈尔滨理工大学联合培养招收硕士调剂生,哈尔滨理工大学,工学 -> 计算机科学与技术  ,5,2020-05-19 18:30,http://muchong.com/t-14261901-1
15,贵州财经大学 计算机类专业（学硕）接收调剂,贵州财经,工学 -> 计算机科学与技术  -> 计算机应用技术,0,2020-05-19 16:46,http://muchong.com/t-14261647-1
16,贵州财经大学 计算机类专业（学硕）接收调剂,贵州财经,工学 -> 计算机科学与技术  -> 计算机系统结构,0,2020-05-19 16:46,http://muchong.com/t-14261647-1
17,中国科学院自动化研究所与哈尔滨理工大学联合培养招收硕士调剂生,哈尔滨理工大学,工学 -> 计算机科学与技术  ,5,2020-05-19 15:37,http://muchong.com/t-14261422-1
18,已完成,山东大学,工学 -> 计算机科学与技术  ,4,2020-05-14 15:40,http://muchong.com/t-14251638-1
19,浙江科技招收调剂生！！！,浙江科技,工学 -> 计算机科学与技术  ,45,2020-05-14 05:50,http://muchong.com/t-14250508-1
20,河南理工大学能源学院苏发强接收研究生调剂（煤炭地下气化方向）,河南理工,工学 -> 计算机科学与技术  -> 计算机软件与理论,2,2020-05-13 17:15,http://muchong.com/t-14249825-1
